YRMODAMI,Wind.Dir,Wind.Speed.m.per.s,Visibility,Temp.Outside.F,Temp.Dewpoint.F
2013101009,NA,0,10,45,41
2013101009,NA,0,10,45,42
2013101010,NA,0,10,45,43
2013101011,NA,0,10,45,42
2013101012,NA,0,10,45,42
2013101012,100,6,10,51,46
2013101013,100,3,10,56,45
2013101014,NA,0,10,63,46
2013101015,NA,0,10,63,46
2013101015,80,3,10,68,43
2013101016,NA,0,10,68,42
2013101017,20,3,10,71,43
2013101018,20,3,10,71,43
2013101018,90,5,10,72,41
2013101019,NA,0,10,73,41
2013101020,NA,0,10,74,40
2013101021,NA,0,10,74,40
2013101021,NA,0,10,74,40
2013101022,200,6,10,68,44
2013101023,NA,0,10,62,46
2013101100,NA,0,10,62,46
2013101100,NA,0,10,60,46
2013101101,NA,0,10,58,45
2013101102,NA,0,10,58,45
2013101103,NA,0,10,58,45
2013101103,40,6,10,57,42
2013101104,NA,0,10,53,45
2013101104,NA,NA,NA,NA,NA
2013101105,60,6,10,53,45
2013101106,60,6,10,53,45
2013101106,60,3,10,54,45
2013101107,NA,0,10,53,45
2013101108,NA,0,10,51,45
2013101109,NA,0,10,51,45
2013101109,NA,0,10,49,45
2013101110,10,3,10,49,45
2013101111,30,3,10,47,44
2013101112,30,3,10,47,44
2013101112,NA,0,10,55,47
2013101113,NA,0,10,62,47
2013101114,NA,0,10,68,50
2013101115,NA,0,10,68,50
2013101115,NA,0,10,72,44
2013101116,110,3,10,73,42
2013101117,NA,0,10,76,48
2013101118,NA,0,10,76,48
2013101118,NA,0,10,77,50
2013101119,360,5,10,79,48
2013101120,NA,0,10,80,47
2013101121,NA,0,10,80,47
2013101121,NA,0,10,80,50
2013101122,120,5,10,72,50
2013101123,NA,0,10,68,51
2013101200,NA,0,10,68,51
2013101200,90,3,10,64,48
2013101201,NA,0,10,64,48
2013101202,70,3,10,62,46
2013101203,70,3,10,62,46
2013101203,100,7,10,59,46
2013101204,120,5,10,61,46
2013101204,NA,NA,NA,NA,NA
2013101205,110,5,10,59,48
2013101206,110,5,10,59,48
2013101206,110,5,10,57,49
2013101207,110,3,10,56,49
2013101208,NA,0,10,55,49
2013101209,NA,0,10,55,49
2013101209,NA,0,10,53,49
2013101210,NA,0,10,53,49
2013101211,NA,0,10,52,50
2013101212,NA,0,10,59,53
2013101213,120,3,10,65,56
2013101214,130,3,10,67,56
2013101215,130,3,10,67,56
2013101215,100,5,10,69,58
2013101216,990,3,10,73,59
2013101217,NA,0,10,74,59
2013101218,NA,0,10,74,59
2013101218,NA,0,10,75,59
2013101219,220,5,10,75,59
2013101220,90,5,10,77,60
2013101221,90,5,10,77,60
2013101221,140,8,10,73,60
2013101222,150,7,10,70,60
2013101223,150,7,10,68,59
2013101300,150,7,10,68,59
2013101300,140,9,10,66,60
2013101301,140,8,8,64,59
2013101302,150,7,7,62,59
